NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
195	10	3290	NAME_POTION_GUNPOWDER	B_BUILDLEARNSTRINGTALENT.CONCATTEXT	INFO_ADDCHOICE.PAR1	Делать черный порох и снаряжать патроны	Wytwarzaj czarny proch i amunicję
210	10	3305	RECIPE_POTION_SPEED_03	FORMPOTIONRECIPE.POTIONRECIPE	LOG_ADDENTRY.PAR1	15 мясо снеппера, 1 грог, 1 луговой горец	15 sztuk mięsa zębacza, 1 grog, 1 rdest polny
469	10	3575	NAME_WEAPON_ITSH_MAKED1	C_ITEM.NAME	C_ITEM.NAME	Тяжелый деревянный щит	Ciężka drewniana tarcza
470	10	3576	NAME_WEAPON_ITSH_MAKED2	C_ITEM.NAME	C_ITEM.NAME	Железный щит	Żelazna tarcza
471	10	3577	NAME_WEAPON_ITSH_MAKED3	C_ITEM.NAME	C_ITEM.NAME	Тяжелый железный щит	Ciężka żelazna tarcza
472	10	3578	NAME_WEAPON_ITSH_MAKED4	C_ITEM.NAME	C_ITEM.NAME	Стальной щит	Stalowa tarcza
473	10	3579	NAME_WEAPON_ITSH_MAKED5	C_ITEM.NAME	C_ITEM.NAME	Тяжелый стальной щит	Ciężka stalowa tarcza
474	10	3580	NAME_WEAPON_ITSH_MAKED6	C_ITEM.NAME	C_ITEM.NAME	Кованый щит	Kuta tarcza
475	10	3581	NAME_WEAPON_ITSH_MAKED7	C_ITEM.NAME	C_ITEM.NAME	Рудный щит	Tarcza z rudy
554	10	4513	TOPIC_BELIARWEAPON_GIFT	LOG_CREATETOPIC.PAR0	LOG_CREATETOPIC.PAR0	Дар Когтя Белиара	Dar Szponu Beliara
570	10	4880	TOPIC_TEACHLEATHERFABRIC	B_LOGENTRY.TOPIC	LOG_ADDENTRY.PAR0	Обработка кожи и ткани	Obróbka skóry i tkanin
571	10	4881	TOPIC_TEACHWOODSKILL	LOG_CREATETOPIC.PAR0	LOG_CREATETOPIC.PAR0	Столярное дело	Stolarstwo
572	10	5009	TPMESSAGENOTENOUGHMONEY	---	---	У вас недостаточно денег	Nie masz wystarczającej ilości złota
573	10	5010	TPMESSAGEOPENWAYPOINT	---	---	Вы обнаружили точку телепортации:	Znalazłeś punkt teleportacji:
574	10	5011	TPMESSAGENOTENOUGHMANA	---	---	У вас недостаточно маны	Nie masz wystarczającej ilości many
575	10	5012	TPMESSAGECOSTACTIVATION	---	---	Стоимость активации:	Koszt aktywacji:
576	10	5013	TPWORLDNAME_1	---	---	NEWWORLD|NEWWORLD|Хоринис	NEWWORLD|NEWWORLD|Khorinis
577	10	5014	TPWORLDNAME_2	---	---	NEWWORLD|DAS_WAPPEN|Хиденваль	NEWWORLD|DAS_WAPPEN|Hidenval
578	10	5015	TPWORLDNAME_3	---	---	NEWWORLD|EXODUS|Вальдус	NEWWORLD|EXODUS|Valdus
579	10	5016	TPWORLDNAME_4	---	---	NEWWORLD|DRAGONISLAND|Ирдорат	NEWWORLD|DRAGONISLAND|Irdorath
580	10	5017	TPWORLDNAME_5	---	---	NEWWORLD|INTRUSION|Дальняя долина	NEWWORLD|INTRUSION|Daleka Dolina
581	10	5018	TPWORLDNAME_6	---	---	NEWWORLD|ISLANDFINAL|Лощина	NEWWORLD|ISLANDFINAL|Kotlina
582	10	5019	TPWORLDNAME_8	---	---	NEWWORLD|GUARDIANCHAMBERS|Чертоги Вакхана	NEWWORLD|GUARDIANCHAMBERS|Sale Vakhana
583	10	5020	TPWORLDNAME_9	---	---	NEWWORLD|LOSTISLAND|Затерянный остров	NEWWORLD|LOSTISLAND|Zaginiona Wyspa
584	10	5021	TPWORLDNAME_10	---	---	ISLANDSAZGAN|SECRETISLAND|Этлу	ISLANDSAZGAN|SECRETISLAND|Wyspa Etlu
585	10	5022	TPWORLDNAME_11	---	---	ISLANDSAZGAN|PALADINFORT|Азган	ISLANDSAZGAN|PALADINFORT|Fort Azgan
586	10	5023	TPWORLDNAME_12	---	---	ADDON|ADDONWORLD|Яркендар	ADDON|ADDONWORLD|Jarkendar
587	10	5024	TPWORLDNAME_13	---	---	ADDON|DESERTWORLD|Пустоши	ADDON|DESERTWORLD|Pustkowia
588	10	5025	TPWORLDNAME_14	---	---	OLDWORLD|OLDWORLD|Долина Рудников	OLDWORLD|OLDWORLD|Górnicza Dolina
589	10	5026	TPWORLDNAME_15	---	---	OLDWORLD|ABANDONEDMINE|Заброшенная шахта	OLDWORLD|ABANDONEDMINE|Opuszczona Kopalnia
590	10	5027	TPWORLDNAME_16	---	---	OLDWORLD|DEMONCAVE|Склеп зла	OLDWORLD|DEMONCAVE|Jaskinia Bólu
591	10	5028	TPWORLDNAME_17	---	---	OLDWORLD|FREEMINE|Новая шахта	OLDWORLD|FREEMINE|Wolna Kopalnia
592	10	5029	TPWORLDNAME_18	---	---	OLDWORLD|OLDMINE|Старая шахта	OLDWORLD|OLDMINE|Stara Kopalnia
593	10	5030	TPWORLDNAME_19	---	---	OLDWORLD|FREEMINELAGER|Горный перевал	OLDWORLD|FREEMINELAGER|Przełęcz
594	10	5031	TPWORLDNAME_20	---	---	OLDWORLD|ORCCITY|Город орков	OLDWORLD|ORCCITY|Miasto Orków
595	10	5032	TPWORLDNAME_21	---	---	OLDWORLD|ORCGRAVEYARD|Кладбище орков	OLDWORLD|ORCGRAVEYARD|Cmentarzysko Orków
596	10	5033	TPWORLDNAME_22	---	---	OLDWORLD|ORCTEMPEL|Храм Спящего	OLDWORLD|ORCTEMPEL|Świątynia Śniącego
597	10	5034	TPWORLDNAME_23	---	---	SHVALLEY|SHVALLEY|Долина теней	SHVALLEY|SHVALLEY|Dolina Cieni
598	10	5035	TPWORLDNAME_24	---	---	SHVALLEY|UNDEADZONE|Город мертвых	SHVALLEY|UNDEADZONE|Miasto Umarłych
599	10	5036	TPWORLDNAME_25	---	---	NEWWORLD|ERZTAL|Котлован	NEWWORLD|ERZTAL|Wykop
600	10	5037	TPWORLDNAME_26	---	---	TESTWORLD|MOUNTAINWORLD|Баронство	TESTWORLD|MOUNTAINWORLD|Baronia
601	10	5038	GUILDSTELEPORTPOINT_1	---	---	NEWWORLD|NW_XARDAS_TOWER_IN1_26|К Ксардасу	NEWWORLD|NW_XARDAS_TOWER_IN1_26|Do Xardasa
602	10	5039	GUILDSTELEPORTPOINT_2	---	---	NEWWORLD|NW_CITY_PIRATESCAMP_01|К Скипу	NEWWORLD|NW_CITY_PIRATESCAMP_01|Do Skipa
603	10	5040	GUILDSTELEPORTPOINT_3	---	---	NEWWORLD|NW_CITY_HABOUR_02|В порт	NEWWORLD|NW_CITY_HABOUR_02|Miasto portowe
604	10	5041	GUILDSTELEPORTPOINT_4	---	---	NEWWORLD|NW_CITY_MAINSTREET_01|К южным воротам	NEWWORLD|NW_CITY_MAINSTREET_01|Południowa brama Khorinis
605	10	5042	GUILDSTELEPORTPOINT_5	---	---	NEWWORLD|NW_CITY_MERCHANT_TEMPLE_IN|К площади	NEWWORLD|NW_CITY_MERCHANT_TEMPLE_IN|Plac Khorinis
606	10	5043	GUILDSTELEPORTPOINT_6	---	---	NEWWORLD|NW_CITY_MERCHANT_PATH_28_B|К рынку	NEWWORLD|NW_CITY_MERCHANT_PATH_28_B|Rynek Khorinis
607	10	5044	GUILDSTELEPORTPOINT_7	---	---	NEWWORLD|NW_CITY_UPTOWN_PATH_06|В верхний квартал	NEWWORLD|NW_CITY_UPTOWN_PATH_06|Górne miasto Khorinis
608	10	5045	GUILDSTELEPORTPOINT_8	---	---	NEWWORLD|NW_LIGHTHOUSE_OUT_01|К маяку	NEWWORLD|NW_LIGHTHOUSE_OUT_01|Latarnia Morska
609	10	5046	GUILDSTELEPORTPOINT_9	---	---	NEWWORLD|NW_TAVERNE_05|К таверне Орлана	NEWWORLD|NW_TAVERNE_05|Tawerna Orlana
610	10	5047	GUILDSTELEPORTPOINT_10	---	---	NEWWORLD|NW_BIGFARM_CAMPON_PIR_10|К ферме Онара	NEWWORLD|NW_BIGFARM_CAMPON_PIR_10|Farma Onara
611	10	5048	GUILDSTELEPORTPOINT_11	---	---	NEWWORLD|NW_CASTLEMINE_HUT_01|К лагерю Декстера	NEWWORLD|NW_CASTLEMINE_HUT_01|Obóz Dextera
612	10	5049	GUILDSTELEPORTPOINT_12	---	---	NEWWORLD|NW_CAMP_BANDITS_18|В лагерь Ханса	NEWWORLD|NW_CAMP_BANDITS_18|Obóz Hansa
613	10	5050	GUILDSTELEPORTPOINT_13	---	---	NEWWORLD|NW_LL_ADD_01|К реке	NEWWORLD|NW_LL_ADD_01|Rzeka
614	10	5051	GUILDSTELEPORTPOINT_14	---	---	NEWWORLD|NW_TROLLAREA_RUINS_11|К раскопкам магов воды	NEWWORLD|NW_TROLLAREA_RUINS_11|Wykopaliska magów wody
615	10	5052	GUILDSTELEPORTPOINT_15	---	---	NEWWORLD|NW_TROLLAREA_PATH_80|К черному троллю	NEWWORLD|NW_TROLLAREA_PATH_80|Do czarnego trolla
616	10	5053	GUILDSTELEPORTPOINT_16	---	---	NEWWORLD|NW_TROLLAREA_RITUALPATH_01|К кругу камней	NEWWORLD|NW_TROLLAREA_RITUALPATH_01|Kamienny krąg
617	10	5054	GUILDSTELEPORTPOINT_17	---	---	NEWWORLD|MORAN_R_DIOSCOR|Лагерь у двух башен	NEWWORLD|MORAN_R_DIOSCOR|Obóz przy dwóch wieżach
618	10	5055	GUILDSTELEPORTPOINT_18	---	---	NEWWORLD|NW_FOREST_PATH_83|В восточный лес	NEWWORLD|NW_FOREST_PATH_83|Las na wschodzie
619	10	5056	GUILDSTELEPORTPOINT_19	---	---	NEWWORLD|WP_NW_PSICAMP_PATH_09|В лагерь Братства	NEWWORLD|WP_NW_PSICAMP_PATH_09|Obóz bractwa
620	10	5057	GUILDSTELEPORTPOINT_20	---	---	NEWWORLD|NW_GURUHOME11|В дом гуру	NEWWORLD|NW_GURUHOME11|Do domu guru
621	10	5058	GUILDSTELEPORTPOINT_21	---	---	NEWWORLD|NW_PASS_SECRET_11|К проходу в Долину рудников	NEWWORLD|NW_PASS_SECRET_11|Przełęcz do Górniczej Doliny
622	10	5059	GUILDSTELEPORTPOINT_22	---	---	NEWWORLD|NW_BIGMILL_FARM3_02|К лагерю охотников	NEWWORLD|NW_BIGMILL_FARM3_02|Obóz Myśliwych
623	10	5060	GUILDSTELEPORTPOINT_23	---	---	NEWWORLD|NW_SAGITTA_CAVE_IN_01|К Сагитте	NEWWORLD|NW_SAGITTA_CAVE_IN_01|Do Sagitty
624	10	5061	GUILDSTELEPORTPOINT_24	---	---	NEWWORLD|NW_MONASTERY_ENTRY_01|К монастырю	NEWWORLD|NW_MONASTERY_ENTRY_01|Klasztor
625	10	5062	GUILDSTELEPORTPOINT_25	---	---	NEWWORLD|NW_CASTLEMINE2_03_SILVER|К серебряной жиле	NEWWORLD|NW_CASTLEMINE2_03_SILVER|Do żyły srebra
626	10	5063	GUILDSTELEPORTPOINT_26	---	---	NEWWORLD|NW_CITYFOREST_CAVE_01|К железной жиле	NEWWORLD|NW_CITYFOREST_CAVE_01|Do żyły żelaza
627	10	5064	GUILDSTELEPORTPOINT_27	---	---	NEWWORLD|NW_FARM2_PATH_05|К Акилу	NEWWORLD|NW_FARM2_PATH_05|Do Akila
628	10	5065	GUILDSTELEPORTPOINT_28	---	---	NEWWORLD|NW_FARM4_06|К Секобу	NEWWORLD|NW_FARM4_06|Do Sekoba
629	10	5066	GUILDSTELEPORTPOINT_29	---	---	DAS_WAPPEN|ENTRANCE|В Хоринис	DAS_WAPPEN|ENTRANCE|Do Khorinis
630	10	5067	GUILDSTELEPORTPOINT_30	---	---	DAS_WAPPEN|WEGPUNKT_AM_TURM_001|Башня Даллина	DAS_WAPPEN|WEGPUNKT_AM_TURM_001|Wieża Dallina
631	10	5068	GUILDSTELEPORTPOINT_31	---	---	DAS_WAPPEN|STADT_ABSCHNITT4_WEGPUNKT_001|Нижний квартал Учара	DAS_WAPPEN|STADT_ABSCHNITT4_WEGPUNKT_001|Dolne miasto Uchar
632	10	5069	GUILDSTELEPORTPOINT_32	---	---	DAS_WAPPEN|STADT_ABSCHNITT4_WEGPUNKT_043|Верхний квартал Учара	DAS_WAPPEN|STADT_ABSCHNITT4_WEGPUNKT_043|Górne miasto Uchar
633	10	5070	GUILDSTELEPORTPOINT_33	---	---	DAS_WAPPEN|FARM_BERG|Ферма Берта	DAS_WAPPEN|FARM_BERG|Farma Berta
634	10	5071	GUILDSTELEPORTPOINT_34	---	---	DAS_WAPPEN|FARM_TIMON|Ферма Тимона	DAS_WAPPEN|FARM_TIMON|Farma Thiemo
635	10	5072	GUILDSTELEPORTPOINT_35	---	---	DAS_WAPPEN|FARM_DAMIEN|Плантация Дамьена	DAS_WAPPEN|FARM_DAMIEN|Plantacja Damiana
636	10	5073	GUILDSTELEPORTPOINT_36	---	---	DAS_WAPPEN|MINE|Шахта	DAS_WAPPEN|MINE|Kopalnia
637	10	5074	GUILDSTELEPORTPOINT_37	---	---	DAS_WAPPEN|BASTION|Бастион	DAS_WAPPEN|BASTION|Bastion
638	10	5075	GUILDSTELEPORTPOINT_38	---	---	EXODUS|WP_TO_KHORINIS_01|В Хоринис	EXODUS|WP_TO_KHORINIS_01|Do Khorinis
639	10	5076	GUILDSTELEPORTPOINT_39	---	---	EXODUS|WP_VATER_HOF_02|Ферма Дальго	EXODUS|WP_VATER_HOF_02|Gospodarstwo Dalgo
640	10	5077	GUILDSTELEPORTPOINT_40	---	---	EXODUS|WP_WEG_MUELLER_33|Мельница Марса	EXODUS|WP_WEG_MUELLER_33|Młyn Marsa
641	10	5078	GUILDSTELEPORTPOINT_41	---	---	EXODUS|CONSTANTIN|Плантация Константина	EXODUS|CONSTANTIN|Plantacja Konstantina
642	10	5079	GUILDSTELEPORTPOINT_42	---	---	EXODUS|WP_WEG_STADT_10|Крепость	EXODUS|WP_WEG_STADT_10|Twierdza
643	10	5080	GUILDSTELEPORTPOINT_43	---	---	EXODUS|WEINBAUER_48|В Лощину	EXODUS|WEINBAUER_48|Do Kotliny
644	10	5081	GUILDSTELEPORTPOINT_44	---	---	EXODUS|DEMO_EXIT|В Котлован	EXODUS|DEMO_EXIT|Do Wykopu
645	10	5082	GUILDSTELEPORTPOINT_45	---	---	PALADINFORT|START_PALADINFORT|В Хоринис	PALADINFORT|START_PALADINFORT|Do Khorinis
646	10	5083	GUILDSTELEPORTPOINT_46	---	---	PALADINFORT|LGR_EINGANG_03|Форт	PALADINFORT|LGR_EINGANG_03|Fort
647	10	5084	GUILDSTELEPORTPOINT_47	---	---	PALADINFORT|WP_STRAND_PIER_03|Рыбацкий пирс	PALADINFORT|WP_STRAND_PIER_03|Molo rybackie
648	10	5085	GUILDSTELEPORTPOINT_48	---	---	DRAGONISLAND|SHIP_CONNECT_LAND_01|Корабль	DRAGONISLAND|SHIP_CONNECT_LAND_01|Statek
649	10	5086	GUILDSTELEPORTPOINT_49	---	---	DRAGONISLAND|DI_DRACONIANAREA_FIREDRAGON|Логово дракона	DRAGONISLAND|DI_DRACONIANAREA_FIREDRAGON|Legowisko smoka
650	10	5087	GUILDSTELEPORTPOINT_50	---	---	DRAGONISLAND|UNDEAD_ENDTELEPORT|Большая зала	DRAGONISLAND|UNDEAD_ENDTELEPORT|Duża sala
651	10	5088	GUILDSTELEPORTPOINT_51	---	---	INTRUSION|W|Деревня	INTRUSION|W|Wioska
652	10	5089	GUILDSTELEPORTPOINT_52	---	---	INTRUSION|FA|Ферма Ральфа	INTRUSION|FA|Farma Ralfa
653	10	5090	GUILDSTELEPORTPOINT_53	---	---	INTRUSION|WP_CASTLE_PATH_18|Замок	INTRUSION|WP_CASTLE_PATH_18|Zamek
654	10	5091	GUILDSTELEPORTPOINT_54	---	---	INTRUSION|WP_PATH_ORCS_21|Дикие земли	INTRUSION|WP_PATH_ORCS_21|Dzikie ziemie
655	10	5092	GUILDSTELEPORTPOINT_55	---	---	INTRUSION|WP_PATH_BRIDGE_01|Лагерь Ареса	INTRUSION|WP_PATH_BRIDGE_01|Obóz Aresa
656	10	5093	GUILDSTELEPORTPOINT_56	---	---	INTRUSION|WP_PATH_CANYON_05|К Некрополю	INTRUSION|WP_PATH_CANYON_05|Nekropolia
657	10	5094	GUILDSTELEPORTPOINT_57	---	---	ISLANDFINAL|WP_SCAVENGER_2|В Вальдус	ISLANDFINAL|WP_SCAVENGER_2|Do Valdus
658	10	5095	GUILDSTELEPORTPOINT_58	---	---	ISLANDFINAL|WALK_01|Поселение	ISLANDFINAL|WALK_01|Osada
659	10	5096	GUILDSTELEPORTPOINT_59	---	---	GUARDIANCHAMBERS|WP_GUARDIANS_01|Чертоги хранителей	GUARDIANCHAMBERS|WP_GUARDIANS_01|Pałac Opiekunów
660	10	5097	GUILDSTELEPORTPOINT_60	---	---	LOSTISLAND|SHIP_CONNECT_LAND_01|Корабль	LOSTISLAND|SHIP_CONNECT_LAND_01|Statek
661	10	5098	GUILDSTELEPORTPOINT_61	---	---	LOSTISLAND|STRAND_FOOD|Пляж	LOSTISLAND|STRAND_FOOD|Plaża
662	10	5099	GUILDSTELEPORTPOINT_62	---	---	LOSTISLAND|TEMPLE_1|Руины	LOSTISLAND|TEMPLE_1|Ruiny
663	10	5100	GUILDSTELEPORTPOINT_63	---	---	SECRETISLAND|INSEL_DORF_41|Деревня	SECRETISLAND|INSEL_DORF_41|Wioska
664	10	5101	GUILDSTELEPORTPOINT_64	---	---	SECRETISLAND|INSEL_DRAUSSEN_15|Хижина в лесу	SECRETISLAND|INSEL_DRAUSSEN_15|Chatka w lesie
665	10	5102	GUILDSTELEPORTPOINT_65	---	---	SECRETISLAND|INSEL_NATUR_151|Часовня	SECRETISLAND|INSEL_NATUR_151|Kaplica
666	10	5103	GUILDSTELEPORTPOINT_66	---	---	ADDONWORLD|ADW_ENTRANCE|Центральные руины	ADDONWORLD|ADW_ENTRANCE|Centralne ruiny
667	10	5104	GUILDSTELEPORTPOINT_67	---	---	ADDONWORLD|ADW_ENTRANCE_2_PIRATECAMP_06|Яма	ADDONWORLD|ADW_ENTRANCE_2_PIRATECAMP_06|Kotlina
668	10	5105	GUILDSTELEPORTPOINT_68	---	---	ADDONWORLD|ADW_PIRATECAMP_BEACH_06|Лагерь пиратов	ADDONWORLD|ADW_PIRATECAMP_BEACH_06|Obóz piratów
669	10	5106	GUILDSTELEPORTPOINT_69	---	---	ADDONWORLD|ADW_TROLL_PLATO_13|В Пустоши	ADDONWORLD|ADW_TROLL_PLATO_13|Do Pustkowi
670	10	5107	GUILDSTELEPORTPOINT_70	---	---	ADDONWORLD|ADW_PATH_TO_BL_03|У лагеря бандитов	ADDONWORLD|ADW_PATH_TO_BL_03|Do obozu bandytów
671	10	5108	GUILDSTELEPORTPOINT_71	---	---	ADDONWORLD|ADW_SATURAS_2_GOLDDRAGON|К Аштару	ADDONWORLD|ADW_SATURAS_2_GOLDDRAGON|Do Ashtara
672	10	5109	GUILDSTELEPORTPOINT_72	---	---	ADDONWORLD|ADW_CANYON_PATH_TO_LIBRARY_18|К библиотеке	ADDONWORLD|ADW_CANYON_PATH_TO_LIBRARY_18|Biblioteka
673	10	5110	GUILDSTELEPORTPOINT_73	---	---	DESERTWORLD|LEOPARD_NORDVARANT_01|В Яркендар	DESERTWORLD|LEOPARD_NORDVARANT_01|Do Jarkendaru
674	10	5111	GUILDSTELEPORTPOINT_74	---	---	DESERTWORLD|EINGANG_SIEDLUNG_WOHNRAUM_01|Замок	DESERTWORLD|EINGANG_SIEDLUNG_WOHNRAUM_01|Zamek
675	10	5112	GUILDSTELEPORTPOINT_75	---	---	DESERTWORLD|NORDVARANT_START_01|Лагерь охотников	DESERTWORLD|NORDVARANT_START_01|Obóz myśliwych
676	10	5113	GUILDSTELEPORTPOINT_76	---	---	DESERTWORLD|BANDIT_DESERT_WACHE_04|Бродячий лагерь	DESERTWORLD|BANDIT_DESERT_WACHE_04|Obóz koczowników
677	10	5114	GUILDSTELEPORTPOINT_77	---	---	DESERTWORLD|SCHWARZER_TURM_07|Черная башня	DESERTWORLD|SCHWARZER_TURM_07|Czarna wieża
678	10	5115	GUILDSTELEPORTPOINT_78	---	---	ABANDONEDMINE|AM_02|В Долину Рудников	ABANDONEDMINE|AM_02|Do Górniczej Doliny
679	10	5116	GUILDSTELEPORTPOINT_79	---	---	DEMONCAVE|DEMONCAVE_TO_OW|В Долину Рудников	DEMONCAVE|DEMONCAVE_TO_OW|Do Górniczej Doliny
680	10	5117	GUILDSTELEPORTPOINT_80	---	---	FREEMINE|FM_03|В Долину Рудников	FREEMINE|FM_03|Do Górniczej Doliny
681	10	5118	GUILDSTELEPORTPOINT_81	---	---	FREEMINELAGER|OW_PATHTOFMC_19|В Долину Рудников	FREEMINELAGER|OW_PATHTOFMC_19|Do Górniczej Doliny
682	10	5119	GUILDSTELEPORTPOINT_82	---	---	FREEMINELAGER|FMC_PATH18|В Свободную шахту	FREEMINELAGER|FMC_PATH18|Do Wolnej Kopalni
683	10	5120	GUILDSTELEPORTPOINT_83	---	---	OLDMINE|OM_CAVE1_13A|В Долину Рудников	OLDMINE|OM_CAVE1_13A|Do Górniczej Doliny
684	10	5121	GUILDSTELEPORTPOINT_84	---	---	OLDMINE|OM_CAVE1_74|Нижние уровни	OLDMINE|OM_CAVE1_74|Niższy poziom
685	10	5122	GUILDSTELEPORTPOINT_85	---	---	ORCCITY|ORC_CITY_2|В Долину Рудников	ORCCITY|ORC_CITY_2|Do Górniczej Doliny
686	10	5123	GUILDSTELEPORTPOINT_86	---	---	ORCCITY|ORC_CITY_47|Зал вождя	ORCCITY|ORC_CITY_47|Sala przywódcy
687	10	5124	GUILDSTELEPORTPOINT_87	---	---	ORCCITY|ORC_CITY_50|В Долину теней	ORCCITY|ORC_CITY_50|Do Doliny Cieni
688	10	5125	GUILDSTELEPORTPOINT_88	---	---	ORCGRAVEYARD|GRYD_001|В Долину Рудников	ORCGRAVEYARD|GRYD_001|Do Górniczej Doliny
689	10	5126	GUILDSTELEPORTPOINT_89	---	---	ORCTEMPEL|TPL_006|В Долину Рудников	ORCTEMPEL|TPL_006|Do Górniczej Doliny
690	10	5127	GUILDSTELEPORTPOINT_90	---	---	OLDWORLD|WP_INTRO03|В Хоринис	OLDWORLD|WP_INTRO03|Do Khorinis
